,Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
428,meal_id184 ,vegetable bruschetta                                                          ,bruschetta  ,"baguette (grilled slices), black olive tapenade, artichoke hearts, lettuce arugula (trummed), tomato confit, fresh basil leaves, mint leaves, zucchini, goat cheese, parmesan cheese shavings, mozzarella buffalo cheese                                                                                                                                                                                                                                                                                                                                              ",veg     ,calcium       ,obesity scurvy kidney_disease heart_disease                                                                           ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,340
431,meal_id271 ,californian breakfast benedict                                                ,sauce       ,"brioche loaf, avocado paste, eggs, tomato, spinach, nutmeg powder, phyllo pastry sheet, assorted seasonal fruits, hollandaise sauce                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,protien       ,obesity rickets hypertension                                                                                          ,high_protien_diet                                                                                                                                                                       ,375
432,meal_id272 ,chocolate marquise                                                            ,chocolate   ,"dark chocolate (melted), castor sugar, egg yolk, egg, cocoa powder, coffee, cream, berries, dark chocolate, fresh cream                                                                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,vitamin_a     ,hypertension heart_disease                                                                                            ,high_fiber_diet ketogenic_diet                                                                                                                                                          ,235
433,meal_id273 ,corn &amp; jalapeno poppers                                                   ,corn        ,"fresh corn kernels, corn flour, whole egg, cheddar cheese, jalapeno poppers, smoked paprika, coriander (toasted & ground), green onions, fresh cilantro, lemon (zest and juice), cooking oil                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,iron          ,diabeties goitre                                                                                                      ,low_fat_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                                              ,430
434,meal_id274 ,banana phirni tartlets with fresh strawberries                                ,banana      ,"basmati rice (soaked in water), milk, cardamom powder, milk, saffron, sugar, banana, fresh strawberries, plain flour, butter (chilled), castor sugar, egg yolk, chilled water                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,vitamin_c     ,anemia pregnancy hypertension cancer scurvy heart_disease rickets kidney_disease obesity diabeties                    ,alkaline_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                    ,570
435,meal_id25  ,cashew nut cookies                                                            ,cookie      ,"काजू पेस्ट, घी, खांड, फलैक्स या चिया सीडस, बेकिंग सोडा, बेकिंग पाउडर, वनीला, ओट्स, मैदा आर्गेनिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,protien       ,hypertension                                                                                                          ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,330
436,meal_id207 ,spiced almond banana jaggery cake                                             ,cake        ,"मक्खन, दालचीनी गुड़ पाउडर, जायफल (पीसा हुआ), बादाम, चीनी, अंडे, संतरे का छिलका , केला, मैदा, बेकिंग सोडा, बेकिंग पाउडर, नमक, छाछ, पीसी हुई दालचीनी                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,potassium     ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet gluten_free_diet                                                                                                   ,685
438,meal_id276 ,apple and pear cake                                                           ,cake        ,"कोर, छिला और स्लाइस्ड एप्पल, कोर, छिला और स्लाइस्ड नाशपात्ती, कैस्टर शुगर, वनीला एसेंस , सूरजमुखी तेल, अंडे , मैदा, दूध, बेकिंग पाउडर, दूध , दालचीनी स्टिक, अंडे का पीला भाग , कैस्टर शुगर                                                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,potassium     ,obesity diabeties                                                                                                     ,high_protien_diet low_fat_diet high_fiber_diet ketogenic_diet                                                                                                                           ,410
439,meal_id277 ,microwave chocolate cake                                                      ,cake        ,"मैदा, कैस्टर या पाउडर शुगर, तेल, मक्खन या मारर्गीन, कोको पाउडर, पानी, वनीला एसेंस, बेकिंग सोडा, बेकिंग पाउडर, नमक, अंडा                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,385
440,meal_id278 ,white chocolate and lemon pastry                                              ,chocolate   ,"वाइट चॉकलेट, फ्रेश क्रीम, विप क्रीम, वनीला बीन, वनीला एक्ट्रैक्ट, ​क्रीम चीज़, जिलेटिन, नींबू, अंडे का पीला भाग, मक्खन, कैस्टर शुगर                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,magnesium     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                    ,415
444,meal_id85  ,garlic and pinenut soup with burnt butter essence                             ,soup        ,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,vitamin_a     ,hypertension cancer heart_disease kidney_disease obesity diabeties                                                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet dash_diet type_a_diet                                                                                                         ,325
445,meal_id3   ,sweet chilli almonds                                                          ,chilli      ,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,vitamin_a     ,hypertension scurvy heart_disease goitre kidney_disease pregnancy                                                     ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                    ,410
446,meal_id48  ,almond and chicken momos (without shell)                                      ,chicken     ,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)                                                                                                                                                                                                                                                                                                                                                                                                                ",non-veg ,calcium       ,anemia hypertension rickets goitre kidney_disease pregnancy                                                           ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                        ,555
448,meal_id137 ,portugese fish stew                                                           ,fish        ,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt                                                                                                                                                                                                                                                  ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,220
454,meal_id7   ,chocolate nero cookies                                                        ,cookie      ,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,565
456,meal_id9   ,cream of almond soup                                                          ,soup        ,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,calcium       ,obesity cancer hypertension                                                                                           ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                 ,620
457,meal_id10  ,broccoli and almond soup                                                      ,soup        ,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,vitamin_c     ,pregnancy hypertension scurvy obesity diabeties                                                                       ,alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet                                                                                                    ,590
458,meal_id12  ,lemon honey glazed sous vide corn on the cob                                  ,corn        ,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer                                                                                                                                                                                                                                                                                                                                                                                                        ",non-veg ,protien       ,diabeties goitre scurvy                                                                                               ,low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet                                                                                                               ,510
459,meal_id54  ,sous-vide salmon tikka                                                        ,tikka       ,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt                                                                                                                                                                                                                                                                                                                                                                                                                                                ",non-veg ,calcium       ,anemia pregnancy hypertension heart_disease rickets goitre obesity diabeties                                          ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,630
460,meal_id87  ,roasted spring chicken with root veggies                                      ,chicken     ,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley                                                                                                                                                                                                                                                                                                                                                                                                                 ",non-veg ,iron          ,anemia pregnancy hypertension rickets goitre kidney_disease obesity                                                   ,alkaline_diet low_fat_diet low_carb_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                           ,385
462,meal_id215 ,mixed vegetable soup                                                          ,soup        ,"मिक्स वेजिटेबल  (टमाटर, गाजर, मटर और फ्रेंच बीन्स), नमक, जीरा पाउडर, तेल, कढ़ीपत्ता                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,sodium        ,scurvy heart_disease kidney_disease obesity diabeties                                                                 ,alkaline_diet low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                      ,695
465,meal_id11  ,coconut lime quinoa salad                                                     ,salad       ,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil                                                                                                                                                                                                                                                                        ",veg     ,fiber         ,pregnancy hypertension scurvy goitre obesity                                                                          ,alkaline_diet low_fat_diet paleo_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                            ,585
467,meal_id15  ,almond and cranberry poha                                                     ,poha        ,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,iron          ,hypertension                                                                                                          ,gluten_free_diet vegan_diet low_fat_diet high_fiber_diet                                                                                                                                ,325
468,meal_id19  ,baked shankarpali recipe                                                      ,shankarpali ,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,carbohydrates ,diabeties goitre                                                                                                      ,alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                            ,410
469,meal_id25  ,cashew nut cookies                                                            ,cookie      ,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,protien       ,hypertension                                                                                                          ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,220
470,meal_id27  ,hawaiin papaya salad                                                          ,salad       ,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,fiber         ,obesity scurvy hypertension goitre                                                                                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                             ,205
471,meal_id28  ,vegetable som tam salad                                                       ,salad       ,"raw papaya, carrot, french bean diamond, cherry tomato, garlic, crush mix chilli, somtam dressing, peanuts (crushed), peanuts                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,fiber         ,hypertension scurvy heart_disease goitre kidney_disease obesity                                                       ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,245
472,meal_id184 ,vegetable bruschetta                                                          ,bruschetta  ,"baguette (grilled slices), black olive tapenade, artichoke hearts, lettuce arugula (trummed), tomato confit, fresh basil leaves, mint leaves, zucchini, goat cheese, parmesan cheese shavings, mozzarella buffalo cheese                                                                                                                                                                                                                                                                                                                                              ",veg     ,calcium       ,obesity scurvy kidney_disease heart_disease                                                                           ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,485
475,meal_id185 ,red wine braised mushroom flatbread                                           ,wine        ,"olive oil, fresh buffalo mozzarella cheese, canned pelati tomatoes (cooked), pizza/flatbread base, mushrooms, red wine, parsley, garlic cloves (halved), salt                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,vitamin_c     ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet dash_diet low_fat_diet                                                                                                                                                    ,295
476,meal_id279 ,mixed beans salad                                                             ,salad       ,"mixed boiled beans (choose from rajma, chawli, chick peas, hara chana), spring onions, tomatoes (diced), oil, lemon juice, basil, garlic, salt and pepper, for garnish:, coriander                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,fiber         ,anemia pregnancy hypertension heart_disease goitre obesity diabeties                                                  ,alkaline_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet type_a_diet                                                             ,435
478,meal_id271 ,californian breakfast benedict                                                ,sauce       ,"brioche loaf, avocado paste, eggs, tomato, spinach, nutmeg powder, phyllo pastry sheet, assorted seasonal fruits, hollandaise sauce                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,protien       ,obesity rickets hypertension                                                                                          ,high_protien_diet                                                                                                                                                                       ,290
479,meal_id280 ,baked raw banana samosa                                                       ,samosa      ,"onion, ginger, curry powder, fresh coriander, green chilli, raw banana paste, refined oil, mustard seeds, phyllo sheets, salt                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,chloride      ,anemia hypertension cancer scurvy heart_disease goitre kidney_disease diabeties                                       ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet                                                                                  ,675
481,meal_id281 ,coconut mango oatmeal with cinnamon hint                                      ,mango       ,"coconut (tender), coconut milk, oats, ripe mango (diced), castor sugar, dry fruits, honey, cardamom powder                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",veg     ,selenium      ,hypertension cancer rickets goitre obesity diabeties                                                                  ,low_fat_diet paleo_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                          ,555
482,meal_id282 ,fruit cube salad                                                              ,salad       ,"watermelon, cantaloupe, kiwifruiit, pineapple, marshmallow, mint leaf (crushed nuts, sesame seeds or cinnamon)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,fiber         ,pregnancy hypertension scurvy heart_disease eye_disease goitre obesity diabeties                                      ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,280
483,meal_id283 ,veg hakka noodles                                                             ,sauce       ,"noodles, salt, oil, garlic paste, ginger paste, beans, cabbage, carrot, spring onion, capsicum, soy sauce, green chilli sauce, tomato sauce                                                                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,iron          ,diabeties                                                                                                             ,vegan_diet low_fat_diet high_fiber_diet ketogenic_diet                                                                                                                                  ,380
487,meal_id285 ,spinach &amp; banana pancakes                                                 ,pancakes    ,"रोल्ड ओट्स, दूध, पालक, केला , अंडा, दालचीनी पाउडर, वनिला एक्सट्रैक्ट, बेकिंग पाउडर                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,vitamin_c     ,anemia scurvy hypertension kidney_disease                                                                             ,alkaline_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet type_a_diet                                                                                                           ,250
490,meal_id288 ,deviled scotch egg                                                            ,egg         ,"लैंब कीमा, रोजमेरी, थाइम, अंडे (सख्त उबलाकर छिलका उतार लें), मैदा, अंडे (हल्के फेंटे हुए), पैंको, मूंगफली तेल, नमक, कालीमिर्च, मेयोनीज़, एप्पल सिडर विनेगर, इंग्लिश मस्टर्ड, नमक, कालीमिर्च, पैपरिका और जैतुन पाउडर                                                                                                                                                                                                                                                                                                                                                                                      ",non-veg ,vitamin_a     ,hypertension rickets goitre kidney_disease pregnancy diabeties                                                        ,low_sodium_diet high_protien_diet low_fat_diet ketogenic_diet                                                                                                                           ,600
491,meal_id289 ,amritsari fish                                                                ,fish        ,"with curry, ginger and garlic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,350
498,meal_id296 ,tandoori fish tikka                                                           ,tikka       ,n lime and ginger and cooked over an open fire.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,500
501,meal_id299 ,kolim / jawla                                                                 ,fish        ,dried fish named kolim or jawla found in coastal maharashtra with onion and spices. usually eaten with bhakri or chapati                                                                                                                                                                                                                                                                                                                                                                                                                                                ,veg     ,vitamin_a     ,cancer scurvy heart_disease eye_disease rickets goitre kidney_disease obesity diabeties                               ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,565
502,meal_id300 ,black rice                                                                    ,rice        ,riety of rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,carbohydrates ,anemia pregnancy goitre obesity diabeties                                                                             ,ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                   ,235
503,meal_id301 ,brown rice                                                                    ,rice        ,riety of rice.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,veg     ,carbohydrates ,obesity diabeties anemia heart_disease                                                                                ,Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet hormone_diet high_protien_diet dash_diet                                                                                   ,315
505,meal_id303 ,red rice                                                                      ,rice        ,riety of rice.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,220
506,meal_id304 ,rice                                                                          ,rice        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,carbohydrates ,obesity diabeties anemia                                                                                              ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,350
